step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
92,CASH_OUT,10108.52,C8069852454,22403.57,12295.05,C9742521672,8331.49,18440.01,0,0
76,TRANSFER,37103.74,C6865917217,44962.54,7858.8,C9989082708,11740.42,48844.16,0,0
68,CASH_OUT,40076.09,C9623255772,50995.37,10919.28,C7236701273,16948.9,57024.99,0,0
59,TRANSFER,23657.71,C2753125883,52544.16,28886.45,C6775668552,44495.41,68153.12,0,0
61,PAYMENT,1967.0,C7766811373,9793.21,7826.21,M1450227500,0.0,0.0,0,0
2,TRANSFER,41467.2,C6523364360,110569.75,69102.55,C6073865599,44856.69,86323.89,0,0
50,PAYMENT,3806.84,C1998967633,15711.06,11904.22,M5133823035,0.0,0.0,0,0
85,CASH_IN,18714.75,C2685957005,15837.12,34551.87,C7178823782,33263.71,14548.96,0,0
3,CASH_IN,1016.29,C4200292024,17456.99,18473.28,C4033236374,20072.49,19056.2,0,0
49,CASH_OUT,47154.58,C7723241230,64311.93,17157.35,C9170720274,27560.32,74714.9,0,0
89,DEBIT,1214.93,C1364658477,6556.5,5341.57,C7490645477,41481.92,42696.85,0,0
14,CASH_OUT,51073.33,C5543372869,100351.04,49277.71,C5595215692,4504.49,55577.82,0,0
26,CASH_IN,27131.21,C8828364837,7756.35,34887.56,C3840064343,48176.66,21045.45,0,0
89,PAYMENT,1196.57,C2255494061,2530.01,1333.44,M5593301898,0.0,0.0,0,0
60,PAYMENT,1176.17,C8165299249,2789.0,1612.83,M8651781725,0.0,0.0,0,0
59,PAYMENT,7271.45,C5579644648,35938.43,28666.98,M3997849165,0.0,0.0,0,0
36,PAYMENT,1309.41,C1547761887,3666.74,2357.33,M8591506799,0.0,0.0,0,0
51,TRANSFER,12774.75,C6332997053,31524.06,18749.31,C2576568672,6477.2,19251.95,0,0
63,PAYMENT,74.33,C8215077493,299.98,225.65,M5686196092,0.0,0.0,0,0
35,TRANSFER,50339.4,C3142577821,148576.92,98237.52,C3770382547,36348.59,86687.99,0,0
68,CASH_IN,29229.03,C6145627546,22030.98,51260.01,C6263464835,95504.29,66275.26,0,0
52,CASH_OUT,16936.02,C6880043829,18624.2,1688.18,C4375528724,45328.02,62264.04,0,0
63,TRANSFER,20709.78,C2167834502,27262.92,6553.14,C9892806357,44100.96,64810.74,0,0
60,PAYMENT,7447.64,C1675671850,27989.19,20541.55,M5119003239,0.0,0.0,0,0
94,CASH_OUT,5731.5,C2949698112,9234.66,3503.16,C3990485897,6253.85,11985.35,0,0
68,CASH_OUT,66014.91,C6376925696,122335.02,56320.11,C8155933664,14972.58,80987.49,0,0
3,CASH_IN,24354.9,C3843281768,4108.65,28463.55,C6821797279,90392.52,66037.62,0,0
72,CASH_OUT,17849.98,C8085610282,38269.8,20419.82,C3793378492,23224.43,41074.41,0,0
76,CASH_OUT,866.65,C8325959793,1471.95,605.3,C8526965372,28740.98,29607.63,0,0
2,PAYMENT,1916.38,C4454359624,3920.2,2003.82,M6605439330,0.0,0.0,0,0
3,PAYMENT,3181.1,C7605686418,3208.75,27.65,M7677745504,0.0,0.0,0,0
12,PAYMENT,1109.01,C7995509071,3844.21,2735.2,M5313358658,0.0,0.0,0,0
27,PAYMENT,7425.53,C6190412610,36407.47,28981.94,M9588011874,0.0,0.0,0,0
91,CASH_OUT,28430.08,C2799588690,31423.41,2993.33,C9598141591,2874.97,31305.05,0,0
51,CASH_OUT,21913.34,C3659680083,24310.84,2397.5,C8929851744,43121.76,65035.1,0,0
60,CASH_OUT,36334.13,C9655677297,43499.14,7165.01,C6355125401,41532.35,77866.48,0,0
49,TRANSFER,5198.83,C9277438259,12550.63,7351.8,C7623340901,32253.12,37451.95,0,0
24,PAYMENT,2389.88,C2898797827,3890.04,1500.16,M6928546974,0.0,0.0,0,0
40,PAYMENT,3878.34,C5592506089,13103.17,9224.83,M3356762488,0.0,0.0,0,0
84,PAYMENT,94.44,C4462670774,347.33,252.89,M4752181241,0.0,0.0,0,0
62,PAYMENT,254.23,C4513318334,1020.64,766.41,M6923629936,0.0,0.0,0,0
43,CASH_IN,25211.51,C4180603152,37096.29,62307.8,C4224049780,65520.41,40308.9,0,0
69,TRANSFER,27364.56,C4293760897,59698.9,32334.34,C2166679464,41400.02,68764.58,0,0
98,PAYMENT,4582.88,C3231849767,4899.04,316.16,M9941973210,0.0,0.0,0,0
46,CASH_IN,15239.55,C7040858238,10181.26,25420.81,C9311869566,57981.72,42742.17,0,0
90,CASH_OUT,1862.65,C4559524217,3968.45,2105.8,C5474658220,6094.73,7957.38,0,0
94,PAYMENT,6002.05,C6986510954,23604.79,17602.74,M7685516848,0.0,0.0,0,0
90,TRANSFER,118943.43,C5969268061,340582.71,221639.28,C2064191796,49075.18,168018.61,0,0
98,CASH_IN,43728.7,C7238180086,38011.26,81739.96,C5893653670,57678.46,13949.76,0,0
24,PAYMENT,4286.32,C8751647698,21006.43,16720.11,M8862047518,0.0,0.0,0,0
64,CASH_OUT,2748.3,C3815437196,6558.65,3810.35,C1256118135,38897.45,41645.75,0,0
39,DEBIT,5871.31,C1594817804,40419.46,34548.15,C2157123893,5873.47,11744.78,0,0
62,PAYMENT,5755.74,C7996846846,28467.55,22711.81,M7790472988,0.0,0.0,0,0
42,CASH_IN,592.32,C8549110614,2927.68,3520.0,C2026019484,87116.74,86524.42,0,0
86,CASH_IN,5082.13,C4640321977,48423.75,53505.88,C6705791032,7915.81,2833.68,0,0
55,PAYMENT,77.91,C3620967260,467.28,389.37,M2928250722,0.0,0.0,0,0
71,CASH_OUT,305052.39,C6575431969,305052.39,0.0,C7092416676,0.0,0.0,1,1
80,CASH_OUT,16759.22,C6669510021,30629.98,13870.76,C9526732296,41206.82,57966.04,0,0
4,CASH_OUT,61594.51,C3146273812,136732.41,75137.9,C4064856168,30094.73,91689.24,0,0
32,CASH_OUT,5921.74,C8742483897,12279.12,6357.38,C5867767626,49908.11,55829.85,0,0
73,CASH_OUT,7450.29,C8404821793,10909.42,3459.13,C2507726915,12373.41,19823.7,0,0
64,PAYMENT,155.64,C3385384970,239.4,83.76,M5339917130,0.0,0.0,0,0
100,PAYMENT,12720.36,C5940704689,46167.26,33446.9,M6770265117,0.0,0.0,0,0
19,CASH_OUT,7115.21,C3245425842,10692.36,3577.15,C1948052455,26810.82,33926.03,0,0
26,PAYMENT,1123.64,C1577780567,4548.55,3424.91,M1376355250,0.0,0.0,0,0
60,CASH_OUT,5546.11,C6909143384,6353.19,807.08,C9910225223,37407.58,42953.69,0,0
70,PAYMENT,268.31,C6069676345,370.53,102.22,M4670810316,0.0,0.0,0,0
13,PAYMENT,3590.9,C9903700647,2848.29,0.0,M6273550512,0.0,0.0,0,0
65,CASH_IN,13350.74,C3248757230,15647.74,28998.48,C5980569565,86625.94,73275.2,0,0
51,PAYMENT,2182.11,C4627965957,6174.51,3992.4,M6548953375,0.0,0.0,0,0
87,CASH_IN,10335.03,C8582649701,32202.42,42537.45,C9078682015,44778.01,34442.98,0,0
31,CASH_OUT,13426.45,C1948674936,16779.14,3352.69,C8488339577,35130.04,48556.49,0,0
24,CASH_OUT,35679.16,C3555011343,80456.95,44777.79,C1711362490,35367.81,71046.97,0,0
92,CASH_IN,1381.61,C4883707594,20180.05,21561.66,C9484064717,86824.52,85442.91,0,0
39,CASH_IN,43102.43,C1562366768,28261.83,71364.26,C5168125861,10781.73,0.0,0,0
40,CASH_IN,16257.7,C1295400928,19312.13,35569.83,C4717324221,5467.51,0.0,0,0
67,PAYMENT,2982.01,C1380663681,8392.16,5410.15,M2147313426,0.0,0.0,0,0
41,PAYMENT,12376.13,C7868233457,10396.87,0.0,M3191225546,0.0,0.0,0,0
84,DEBIT,3675.83,C5759106123,33709.8,30033.97,C1418282558,33672.1,37347.93,0,0
1,PAYMENT,1614.34,C9205709771,6583.99,4969.65,M7095661653,0.0,0.0,0,0
79,CASH_OUT,44247.24,C5148524493,52261.61,8014.37,C2313552042,20303.26,64550.5,0,0
98,CASH_IN,1359.39,C6453956118,3556.03,4915.42,C3730256149,40804.31,39444.92,0,0
29,DEBIT,44.38,C8952715782,124.42,80.04,C3592028900,1397.82,1442.2,0,0
18,CASH_OUT,15855.74,C5736412388,37643.0,21787.26,C2992234805,39024.29,54880.03,0,0
30,CASH_IN,12858.87,C5230873857,2754.75,15613.62,C7293357327,62071.19,49212.32,0,0
81,CASH_OUT,17262.0,C3551620853,30039.16,12777.16,C4266469604,18222.47,35484.47,0,0
2,CASH_OUT,7393.66,C9533012306,15785.87,8392.21,C6044422187,33755.48,41149.14,0,0
11,CASH_IN,19210.56,C4279585983,22870.87,42081.43,C7783388674,17924.78,0.0,0,0
85,PAYMENT,2571.3,C3588798920,10406.44,7835.14,M8916966914,0.0,0.0,0,0
68,CASH_OUT,59439.48,C8373331430,121911.74,62472.26,C5913753465,46832.66,106272.14,0,0
47,CASH_IN,21325.97,C5769999622,8972.94,30298.91,C7273725488,54034.68,32708.71,0,0
20,CASH_IN,2468.07,C7734819467,36431.68,38899.75,C8089157031,62990.98,60522.91,0,0
66,TRANSFER,13383.7,C5814645976,18633.98,5250.28,C4670997344,45297.66,58681.36,0,0
28,PAYMENT,3077.96,C6802005309,10503.53,7425.57,M5951134016,0.0,0.0,0,0
1,CASH_IN,6121.59,C2868157083,49553.21,55674.8,C8281599450,98793.18,92671.59,0,0
99,CASH_OUT,127771.79,C3619706857,207177.54,79405.75,C6954944200,23974.95,151746.74,0,0
12,CASH_IN,4344.85,C8935395039,584.54,4929.39,C1004484318,95106.05,90761.2,0,0
42,PAYMENT,9327.22,C7679049403,27774.18,18446.96,M9544196958,0.0,0.0,0,0
13,CASH_IN,13374.45,C4339335029,45934.15,59308.6,C8844568186,67815.04,54440.59,0,0
76,CASH_OUT,4454.95,C5806019705,10380.66,5925.71,C6141420014,18414.61,22869.56,0,0
95,CASH_OUT,13361.82,C4884157277,27099.75,13737.93,C7613548868,11147.3,24509.12,0,0
81,CASH_OUT,47860.53,C4449993645,55280.45,7419.92,C7258450686,36154.31,84014.84,0,0
11,CASH_IN,21181.74,C3189407062,39779.16,60960.9,C5932945809,2321.14,0.0,0,0
41,PAYMENT,7893.98,C3470240473,31593.98,23700.0,M8064654585,0.0,0.0,0,0
78,CASH_OUT,10456.92,C2227016851,14219.9,3762.98,C2511762690,31630.9,42087.82,0,0
70,CASH_IN,2607.96,C8205302688,14345.7,16953.66,C3563162535,66749.72,64141.76,0,0
55,PAYMENT,566.33,C6902986421,2904.09,2337.76,M4785349419,0.0,0.0,0,0
88,CASH_OUT,3030.45,C8815533559,7486.75,4456.3,C4234042737,45264.49,48294.94,0,0
44,PAYMENT,3841.35,C5033963966,8517.22,4675.87,M7473763141,0.0,0.0,0,0
97,TRANSFER,1584.0,C5288347694,4717.11,3133.11,C1591389096,14888.64,16472.64,0,0
65,CASH_OUT,906273.45,C5872181368,906273.45,0.0,C3951520203,10289.93,916563.38,1,0
84,PAYMENT,4124.77,C1215572409,13313.37,9188.6,M1614720122,0.0,0.0,0,0
72,CASH_IN,4215.15,C1589582865,33524.71,37739.86,C3520417815,53338.63,49123.48,0,0
58,PAYMENT,3071.98,C9749791813,8200.04,5128.06,M3964697921,0.0,0.0,0,0
37,PAYMENT,7670.74,C2062834918,27730.23,20059.49,M8791378078,0.0,0.0,0,0
42,CASH_OUT,1034.35,C2155149798,2044.13,1009.78,C2799130045,49817.09,50851.44,0,0
42,CASH_OUT,6288.3,C2007655554,7209.55,921.25,C1631923574,26952.05,33240.35,0,0
26,PAYMENT,2953.34,C2322271069,11960.32,9006.98,M1117831723,0.0,0.0,0,0
77,PAYMENT,8882.02,C2197765870,13129.06,4247.04,M9516181520,0.0,0.0,0,0
78,PAYMENT,5511.29,C2280496586,13938.43,8427.14,M5888734626,0.0,0.0,0,0
79,PAYMENT,366.97,C3628048787,701.59,334.62,M2952366588,0.0,0.0,0,0
20,CASH_IN,38417.76,C6453432455,24463.06,62880.82,C9864946852,76710.76,38293.0,0,0
84,CASH_OUT,149.95,C2581862255,219.16,69.21,C1113200531,37465.29,37615.24,0,0
41,PAYMENT,4633.23,C5527330411,16499.92,11866.69,M1229118888,0.0,0.0,0,0
37,PAYMENT,326.87,C5777758858,1669.41,1342.54,M1473029049,0.0,0.0,0,0
91,PAYMENT,4486.82,C4930438209,10029.23,5542.41,M7666129822,0.0,0.0,0,0
95,CASH_IN,6311.19,C3825699650,21062.01,27373.2,C7081410944,64027.76,57716.57,0,0
13,CASH_OUT,21543.27,C3792956048,31167.08,9623.81,C4749686444,39384.9,60928.17,0,0
33,CASH_IN,2040.19,C8520457953,7738.03,9778.22,C7656965210,7044.72,5004.53,0,0
49,CASH_IN,15358.76,C3755209431,23047.6,38406.36,C7498633962,79179.62,63820.86,0,0
53,CASH_OUT,5553.65,C5636119939,6115.75,562.1,C6959388322,21739.08,27292.73,0,0
96,TRANSFER,5698.85,C9189797508,11276.46,5577.61,C9847124353,12094.66,17793.51,0,0
100,CASH_IN,23255.22,C7888840885,10206.76,33461.98,C6604346894,68207.83,44952.61,0,0
89,PAYMENT,2811.45,C2839976427,3915.43,1103.98,M5243103981,0.0,0.0,0,0
19,PAYMENT,660.18,C8387395021,1113.43,453.25,M2267841227,0.0,0.0,0,0
27,TRANSFER,1978.16,C1574813515,3076.94,1098.78,C7253365428,28018.67,29996.83,0,0
37,CASH_IN,11363.9,C3313770814,13054.02,24417.92,C5722046535,65336.69,53972.79,0,0
61,CASH_IN,8573.3,C4909704889,43143.83,51717.13,C8677955621,77986.27,69412.97,0,0
79,TRANSFER,3015.46,C5183755567,7281.77,4266.31,C9050856851,42930.24,45945.7,0,0
1,CASH_OUT,4160.37,C1576172300,9249.35,5088.98,C9301752566,18901.92,23062.29,0,0
33,PAYMENT,1999.6,C4611384009,3743.79,1744.19,M4304723159,0.0,0.0,0,0
36,CASH_OUT,23492.61,C9204730357,48306.72,24814.11,C1742039416,46883.49,70376.1,0,0
74,PAYMENT,2915.63,C6621808556,9692.96,6777.33,M2509908694,0.0,0.0,0,0
20,DEBIT,296.17,C7393659353,1644.01,1347.84,C9109807522,35636.42,35932.59,0,0
34,PAYMENT,1026.23,C6589067817,4194.46,3168.23,M8699841653,0.0,0.0,0,0
39,CASH_IN,450.61,C1978200864,39112.95,39563.56,C4999673414,20019.34,19568.73,0,0
75,CASH_OUT,3841.35,C4552208359,8239.65,4398.3,C3639562517,28448.15,32289.5,0,0
20,TRANSFER,4408.0,C9046172494,9872.37,5464.37,C4313700496,26459.61,30867.61,0,0
14,PAYMENT,8815.94,C4937417988,21142.57,12326.63,M9160865438,0.0,0.0,0,0
50,CASH_OUT,10054.69,C9690233968,15118.47,5063.78,C5485961049,2653.58,12708.27,0,0
44,CASH_OUT,9447.73,C1051739906,21547.38,12099.65,C4557084037,27577.02,37024.75,0,0
78,PAYMENT,1752.83,C6481159074,7489.78,5736.95,M5025190774,0.0,0.0,0,0
96,PAYMENT,3729.74,C4463450369,9368.3,5638.56,M2782700505,0.0,0.0,0,0
24,PAYMENT,1622.59,C1301983878,5073.32,3450.73,M6612239280,0.0,0.0,0,0
26,PAYMENT,6431.08,C4250666793,31373.1,24942.02,M7760342448,0.0,0.0,0,0
55,PAYMENT,5840.83,C2620948240,27122.28,21281.45,M5665362537,0.0,0.0,0,0
41,PAYMENT,4863.25,C3582891399,13496.79,8633.54,M4166113063,0.0,0.0,0,0
18,CASH_IN,24371.16,C4274001347,43330.62,67701.78,C9852706965,66264.74,41893.58,0,0
22,CASH_OUT,5534.54,C9407282624,11702.66,6168.12,C4812150505,4570.43,10104.97,0,0
41,CASH_OUT,353.64,C1397698456,597.12,243.48,C1329340504,36817.91,37171.55,0,0
7,PAYMENT,1354.39,C8939343511,3010.86,1656.47,M3543905830,0.0,0.0,0,0
41,PAYMENT,1959.3,C2255903097,2158.62,199.32,M7898249382,0.0,0.0,0,0
87,PAYMENT,7427.85,C4100996604,26608.61,19180.76,M9942494378,0.0,0.0,0,0
18,TRANSFER,22806.0,C7385833849,63178.75,40372.75,C4842751322,23035.7,45841.7,0,0
52,TRANSFER,881365.39,C2044299937,881365.39,0.0,C9325358811,0.0,0.0,1,0
1,CASH_IN,548.8,C8993618013,6109.76,6658.56,C3705685892,28322.77,27773.97,0,0
84,PAYMENT,1664.07,C4859946021,5875.46,4211.39,M1926547127,0.0,0.0,0,0
72,PAYMENT,325.44,C3403487757,517.1,191.66,M1000746356,0.0,0.0,0,0
1,DEBIT,3931.59,C2622085270,13983.98,10052.39,C7758789393,27122.46,31054.05,0,0
34,CASH_OUT,20196.71,C7352700797,43868.58,23671.87,C5618232644,20942.25,41138.96,0,0
32,CASH_IN,2320.21,C4388121565,20425.84,22746.05,C6773704892,90467.62,88147.41,0,0
57,TRANSFER,7198.49,C3938487106,9695.27,2496.78,C1461837760,24243.2,31441.69,0,0
3,CASH_OUT,31009.77,C4777902379,65177.81,34168.04,C7261326277,4446.29,35456.06,0,0
10,PAYMENT,289.4,C6751535242,281.99,0.0,M2921615507,0.0,0.0,0,0
37,CASH_OUT,59181.7,C7598936178,70307.61,11125.91,C7867934292,16638.01,75819.71,0,0
20,CASH_OUT,10759.93,C1034568205,11445.76,685.83,C9209465785,16857.7,27617.63,0,0
70,PAYMENT,6231.43,C7411689197,17230.87,10999.44,M1166182881,0.0,0.0,0,0
75,CASH_OUT,5869.58,C4628304977,8464.44,2594.86,C4999439312,10890.76,16760.34,0,0
69,PAYMENT,55.0,C6394997489,292.74,237.74,M8036032192,0.0,0.0,0,0
22,PAYMENT,3450.95,C7117604099,4684.63,1233.68,M1429567625,0.0,0.0,0,0
36,CASH_OUT,9753.28,C9061427828,22591.06,12837.78,C7568499002,36854.41,46607.69,0,0
10,TRANSFER,1542.66,C9599931594,1985.57,442.91,C1111946389,37072.59,38615.25,0,0
